Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,ROI_Annual_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
BB Squeeze V2 TimeFilter BINANCEUSDT 2026-04-03,LDO,4h,51361.2,513.61,5.1361,61.19,0.1676,86.57,13.03,2.68,-800.45,-3.17,-4269.47,-6.96,0,0,0,0,PROMISING,TIER_2,102,10000,61361.2,1388_days,30-05-2022,18-03-2026,0.06%,134,tv_backtester_jan_2024
39 Chandelier Exit BINANCEUSDT.P 2026-04-03,DOT,4h,117059.26,1170.59,11.7059,58.61,0.1606,81.22,9.9,2.81,-5269.14,-3.98,-13150.32,-9.94,0,0,-5269.14,-3.98,PROMISING,TIER_2,67,10000,127059.26,2013_days,12-09-2020,19-03-2026,0.06%,229,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,SUI,4h,27351.72,273.52,2.7352,58.5,0.1603,83.81,8.19,2.83,-1064.09,-3.22,-3805.6,-10.19,0,0,0,0,PROMISING,TIER_2,124,10000,37351.72,1045_days,22-05-2023,01-04-2026,0.06%,105,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03,XRP,4h,131977.23,1319.77,13.1977,54.04,0.148,70.75,11.93,2.74,-1573.33,-1.62,-12070.08,-8.5,-466.19,-4.66,0,0,PROMISING,TIER_2,66,10000,141977.23,2243_days,09-02-2020,01-04-2026,0.06%,335,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03,DOT,4h,99075.95,990.76,9.9076,53.84,0.1475,79.85,8.75,2.84,-4339.36,-3.83,-12785.28,-11.27,0,0,-4339.36,-3.83,PROMISING,TIER_2,72,10000,109075.95,2026_days,14-09-2020,02-04-2026,0.06%,268,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,AVAX,4h,88838.93,888.39,8.8839,53.62,0.1469,86.88,20.42,2.62,-909.62,-1.6,-4575.49,-4.63,0,0,0,0,PROMISING,TIER_2,78,10000,98838.93,1949_days,12-10-2020,12-02-2026,0.06%,160,tv_backtester_jan_2024
Aroon Trend BINANCEUSDT 2026-04-03,BTC,4h,373758.17,3737.58,37.3758,53.06,0.1454,81.53,11.25,3.01,-5891.49,-1.65,-36465.23,-9.5,0,0,0,0,PROMISING,TIER_2,40,10000,383758.17,3130_days,06-09-2017,02-04-2026,0.06%,536,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03,SOL,4h,92449.75,924.5,9.245,53.05,0.1453,70.74,8.71,2.89,-3542.67,-10.63,-11995.57,-11.71,-671.47,-6.71,0,0,PROMISING,TIER_2,74,10000,102449.75,1997_days,03-10-2020,23-03-2026,0.06%,270,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03 (1),SOL,4h,92449.75,924.5,9.245,53.05,0.1453,70.74,8.71,2.89,-3542.67,-10.63,-11995.57,-11.71,-671.47,-6.71,0,0,PROMISING,TIER_2,75,10000,102449.75,1997_days,03-10-2020,23-03-2026,0.06%,270,tv_backtester_jan_2024
ADX DI Cross BINANCEUSDT 2026-04-03,ETH,4h,361983.23,3619.83,36.1983,52.75,0.1445,85.37,18.35,2.41,-1826.64,-1.62,-20869.45,-5.61,0,0,0,0,PROMISING,TIER_2,41,10000,371983.23,3118_days,18-09-2017,02-04-2026,0.06%,376,tv_backtester_jan_2024
ADX DI Cross BINANCEUSDT.P 2026-04-03,DOT,4h,90318.11,903.18,9.0318,51.73,0.1417,79.24,9.82,2.75,-3233.07,-3.12,-10237.58,-9.89,0,0,-3233.07,-3.12,PROMISING,TIER_2,77,10000,100318.11,2020_days,19-09-2020,01-04-2026,0.06%,236,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03,ADA,4h,114928.35,1149.28,11.4928,51.42,0.1409,68.06,5.31,1.87,-5342.93,-4.1,-26675.31,-20.48,-813.38,-8.13,-5342.93,-4.1,PROMISING,TIER_2,68,10000,124928.35,2223_days,25-02-2020,28-03-2026,0.06%,288,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT 2026-04-03,DOT,4h,90429.34,904.29,9.0429,51.35,0.1407,78.24,7.72,2.79,-3632.5,-3.49,-13465.2,-12.94,0,0,-3632.5,-3.49,PROMISING,TIER_2,76,10000,100429.34,2033_days,07-09-2020,02-04-2026,0.06%,262,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-03,ETH,4h,335230.6,3352.31,33.5231,51.3,0.1405,80.88,13.23,2.31,-4772.79,-1.61,-27400.12,-7.94,0,0,0,0,PROMISING,TIER_2,43,10000,345230.6,3124_days,08-09-2017,30-03-2026,0.06%,319,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03 (1),SOL,4h,79511.64,795.12,7.9512,49.13,0.1346,65.85,7.21,2.78,-4462.72,-14.4,-12793.6,-14.29,-147.59,-1.48,0,0,TESTING,PAPER_TRADE,82,10000,89511.64,2003_days,06-10-2020,01-04-2026,0.06%,284,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03,SOL,4h,79511.64,795.12,7.9512,49.13,0.1346,65.85,7.21,2.78,-4462.72,-14.4,-12793.6,-14.29,-147.59,-1.48,0,0,TESTING,PAPER_TRADE,83,10000,89511.64,2003_days,06-10-2020,01-04-2026,0.06%,284,tv_backtester_jan_2024
PSAR Trend BINANCEUSDT 2026-04-03,BTC,4h,292673.96,2926.74,29.2674,49.05,0.1344,80.25,11.83,2.84,-4665.39,-1.61,-27029.53,-8.93,0,0,0,0,TESTING,PAPER_TRADE,45,10000,302673.96,3121_days,13-09-2017,31-03-2026,0.06%,476,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,LDO,4h,29333.78,293.34,2.9334,48.88,0.1339,80,7.71,2.15,-924.34,-3.21,-4369.69,-11.11,0,0,0,0,TESTING,PAPER_TRADE,121,10000,39333.78,1257_days,17-10-2022,28-03-2026,0.06%,105,tv_backtester_jan_2024
Williams %R BINANCEUSDT 2026-04-03,ETH,4h,291629.06,2916.29,29.1629,48.83,0.1338,84.91,10.24,2.62,-4580.07,-1.62,-31547.68,-10.46,-161.54,-1.62,0,0,TESTING,PAPER_TRADE,46,10000,301629.06,3129_days,06-09-2017,02-04-2026,0.06%,424,tv_backtester_jan_2024
TRIX Signal BINANCEUSDT.P 2026-04-03,DOT,4h,74753.55,747.54,7.4754,47.63,0.1305,81.6,10.39,2.25,-3265.64,-3.71,-7962.66,-9.05,0,0,-3265.64,-3.71,TESTING,PAPER_TRADE,88,10000,84753.55,2004_days,07-10-2020,03-04-2026,0.06%,212,tv_backtester_jan_2024
HA Trend BINANCEUSDT 2026-04-03,BNB,4h,240187.61,2401.88,24.0188,47.12,0.1291,55.48,12.61,2.8,-3337.07,-3.27,-20684.39,-8.27,-3154.72,-31.55,0,0,TESTING,PAPER_TRADE,50,10000,250187.61,3046_days,27-11-2017,01-04-2026,0.06%,739,tv_backtester_jan_2024
39 Chandelier Exit BINANCEUSDT 2026-04-03,BTC,4h,242344,2423.44,24.2344,45.77,0.1254,82.31,11.82,2.84,-4216.55,-1.78,-22406.67,-8.87,0,0,-245.03,-0.1,TESTING,PAPER_TRADE,49,10000,252344,3129_days,05-09-2017,01-04-2026,0.06%,373,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03,ETH,4h,96601.53,966.02,9.6602,45.74,0.1253,86.75,24.01,2.44,-762.4,-1.61,-4197.8,-3.94,0,0,0,0,TESTING,PAPER_TRADE,73,10000,106601.53,2295_days,19-12-2019,01-04-2026,0.06%,249,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03,BTC,4h,100597.25,1005.97,10.0597,44.9,0.123,79.61,11.06,3.1,-2805.96,-3.33,-9998.91,-9.04,0,0,0,0,TESTING,PAPER_TRADE,71,10000,110597.25,2367_days,30-09-2019,24-03-2026,0.06%,363,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT 2026-04-03,LDO,4h,28913.64,289.14,2.8914,44.31,0.1214,77.19,6.3,2.06,-941.51,-3.11,-5456.94,-13.77,0,0,-714.24,-1.8,TESTING,PAPER_TRADE,123,10000,38913.64,1353_days,24-06-2022,09-03-2026,0.06%,114,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-03,DOT,4h,65569.06,655.69,6.5569,43.89,0.1203,86.1,9.37,2.71,-1598.84,-2.07,-7838.48,-10.16,0,0,-1598.84,-2.07,TESTING,PAPER_TRADE,91,10000,75569.06,2030_days,10-09-2020,02-04-2026,0.06%,223,tv_backtester_jan_2024
39 Chandelier Exit BINANCEUSDT 2026-04-03,ETH,4h,206167.81,2061.68,20.6168,43.21,0.1184,84.68,13,2.19,-3345.44,-1.61,-17179.49,-7.95,-320.54,-3.21,0,0,TESTING,PAPER_TRADE,53,10000,216167.81,3126_days,10-09-2017,02-04-2026,0.06%,333,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT.P 2026-04-03,SUI,4h,16865.32,168.65,1.6865,42.76,0.1171,90.2,33.33,2.2,-312.98,-1.62,-521.64,-1.94,0,0,0,0,TESTING,PAPER_TRADE,140,10000,26865.32,1014_days,05-06-2023,16-03-2026,0.06%,51,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-03,ETH,4h,192578.72,1925.79,19.2579,42.16,0.1155,74.29,9.39,2.24,-1964.7,-1.14,-22941.92,-11.32,0,0,0,0,TESTING,PAPER_TRADE,56,10000,202578.72,3124_days,08-09-2017,30-03-2026,0.06%,319,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,ADA,4h,71547.14,715.47,7.1547,41.73,0.1143,71.91,12.47,2.08,-1321.97,-1.62,-6238.58,-7.59,-232.06,-2.32,-627.13,-0.76,TESTING,PAPER_TRADE,90,10000,81547.14,2198_days,03-03-2020,10-03-2026,0.06%,178,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT 2026-04-03,BTC,4h,179397.37,1793.97,17.9397,41.1,0.1126,79.82,9.75,2.68,-4764.64,-3.34,-20498.19,-10.82,0,0,0,0,TESTING,PAPER_TRADE,59,10000,189397.37,3120_days,06-09-2017,24-03-2026,0.06%,436,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,ETH,4h,76169.28,761.69,7.6169,41.05,0.1125,84.31,24.13,2.26,-756.93,-1.61,-3292.75,-3.82,0,0,0,0,TESTING,PAPER_TRADE,86,10000,86169.28,2287_days,27-12-2019,01-04-2026,0.06%,204,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT 2026-04-03,ETH,4h,178535.24,1785.35,17.8535,41.03,0.1124,81.49,13.82,2.15,-1539.92,-1.78,-13929.83,-7.39,-207.59,-2.08,0,0,TESTING,PAPER_TRADE,60,10000,188535.24,3120_days,15-09-2017,01-04-2026,0.06%,335,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT.P 2026-04-02 ,LDO,4h,57358.14,573.58,5.7358,74.53,0.2042,89.43,13.16,2.67,-877.3,-1.61,-4718.24,-7,0,0,0,0,PROMISING,TIER_2,100,10000,67358.14,1251_days,17-10-2022,22-03-2026,0.06%,123,tv_backtester_jan_2024
TRIX Signal BINANCEUSDT 2026-04-03,ETH,4h,179501.57,1795.02,17.9502,40.96,0.1122,80.95,13.42,2.28,-1785.89,-1.62,-14451.4,-7.63,0,0,0,0,TESTING,PAPER_TRADE,58,10000,189501.57,3130_days,06-09-2017,03-04-2026,0.06%,294,tv_backtester_jan_2024
BB Squeeze V2 TimeFilter BINANCEUSDT 2026-04-03,ETH,4h,27143.95,271.44,2.7144,40.82,0.1118,82.17,44.81,2.93,-202.17,-1.62,-619.59,-1.67,0,0,0,0,TESTING,PAPER_TRADE,125,10000,37143.95,1400_days,30-05-2022,30-03-2026,0.06%,129,tv_backtester_jan_2024
BB Squeeze V3 Enhanced BINANCEUSDT 2026-04-03,LDO,4h,26843.77,268.44,2.6844,40.53,0.111,85.91,17.81,3.56,-282.14,-1.35,-1596.87,-4.33,0,0,0,0,TESTING,PAPER_TRADE,126,10000,36843.77,1400_days,30-05-2022,30-03-2026,0.06%,220,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,SOL,4h,48001.45,480.01,4.8001,38.01,0.1041,64.68,7.74,2.17,-1737.49,-8.48,-7121.56,-12.28,-774.33,-7.74,0,0,TESTING,PAPER_TRADE,106,10000,58001.45,1993_days,16-10-2020,02-04-2026,0.06%,201,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03 (1),SOL,4h,48001.45,480.01,4.8001,38.01,0.1041,64.68,7.74,2.17,-1737.49,-8.48,-7121.56,-12.28,-774.33,-7.74,0,0,TESTING,PAPER_TRADE,107,10000,58001.45,1993_days,16-10-2020,02-04-2026,0.06%,201,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,XRP,4h,61884.3,618.84,6.1884,37.98,0.104,72.33,9.13,2.21,-1918.49,-3.21,-7611.35,-10.59,-332.31,-3.32,0,0,TESTING,PAPER_TRADE,92,10000,71884.3,2238_days,28-01-2020,16-03-2026,0.06%,206,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03,ADA,4h,57884.47,578.84,5.7884,36.79,0.1008,67.69,7.28,2.33,-1772.76,-3.39,-9218.22,-13.35,-678.96,-6.79,-1156.14,-1.67,TESTING,PAPER_TRADE,99,10000,67884.47,2233_days,20-02-2020,02-04-2026,0.06%,294,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03,XRP,4h,58629.92,586.3,5.863,36.58,0.1002,72.96,9.84,2.42,-1300.8,-3.2,-6632.1,-9.66,-387.08,-3.87,0,0,TESTING,PAPER_TRADE,95,10000,68629.92,2257_days,25-01-2020,31-03-2026,0.06%,233,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT 2026-04-03,DOT,4h,45992.48,459.92,4.5992,36.44,0.0998,76.97,9.14,2.02,-1053.8,-1.85,-5651.61,-9.91,-162.26,-1.62,-1053.8,-1.85,TESTING,PAPER_TRADE,108,10000,55992.48,2025_days,13-09-2020,31-03-2026,0.06%,178,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,DOT,4h,44358.67,443.59,4.4359,35.71,0.0978,77.4,7.09,2.24,-816.21,-1.48,-7285.55,-13.2,0,0,-816.21,-1.48,TESTING,PAPER_TRADE,110,10000,54358.67,2025_days,13-09-2020,31-03-2026,0.06%,177,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,LINK,4h,48589.31,485.89,4.8589,34.31,0.094,82.07,7.06,2.26,-1564.35,-4.76,-8018.18,-13.69,-193.22,-1.93,0,0,TESTING,PAPER_TRADE,105,10000,58589.31,2189_days,20-03-2020,19-03-2026,0.06%,184,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT 2026-04-03,ETH,4h,103982.24,1039.82,10.3982,32.88,0.0901,84.62,17.51,2.29,-1603.65,-1.61,-6297.73,-5.53,0,0,0,0,TESTING,PAPER_TRADE,70,10000,113982.24,3127_days,08-09-2017,01-04-2026,0.06%,247,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT 2026-04-03,LDO,4h,19500.63,195.01,1.9501,32.61,0.0893,86.59,11.11,2.32,-485.46,-3.21,-1928.76,-6.54,0,0,0,0,TESTING,PAPER_TRADE,135,10000,29500.63,1400_days,28-05-2022,29-03-2026,0.06%,82,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT.P 2026-04-03,AVAX,4h,32307.55,323.08,3.2308,30.87,0.0846,83.33,8.22,2.13,-685.77,-1.63,-4473.43,-10.57,0,0,0,0,TESTING,PAPER_TRADE,116,10000,42307.55,1958_days,03-11-2020,16-03-2026,0.06%,126,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT 2026-04-03,BTC,4h,87749.17,877.49,8.7749,30.59,0.0838,80.05,10.41,2.84,-1739.65,-2.4,-9329.73,-9.54,0,0,0,0,TESTING,PAPER_TRADE,79,10000,97749.17,3120_days,05-09-2017,22-03-2026,0.06%,386,tv_backtester_jan_2024
ADX DI Cross BINANCEUSDT 2026-04-03,BTC,4h,85673.61,856.74,8.5674,30.23,0.0828,81.22,15.02,2.89,-848.13,-1.03,-6111.94,-6.39,0,0,-7.45,-0.01,TESTING,PAPER_TRADE,80,10000,95673.61,3123_days,12-09-2017,01-04-2026,0.06%,362,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-02,SUI,1h,30740.01,307.4,3.074,63.54,0.1741,82.47,13.63,2.71,-628.12,-3.19,-2434.14,-5.97,0,0,0,0,PROMISING,TIER_2,117,10000,40740.01,1043_days,24-05-2023,01-04-2026,0.06%,97,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,BTC,4h,44705.31,447.05,4.4705,29.9,0.0819,82.81,19.95,2.73,-828.63,-1.61,-2358.79,-4.31,0,0,0,0,TESTING,PAPER_TRADE,109,10000,54705.31,2373_days,01-10-2019,01-04-2026,0.06%,221,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT.P 2026-04-03,SUI,4h,10103.38,101.03,1.0103,29.29,0.0802,88.33,21.23,2.68,-233.11,-1.67,-499.31,-2.48,0,0,0,0,TESTING,PAPER_TRADE,159,10000,20103.38,993_days,20-06-2023,10-03-2026,0.06%,60,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT.P 2026-04-03,LINK,4h,35759.94,357.6,3.576,29.02,0.0795,83.33,11.67,1.94,-704.11,-1.63,-3351.99,-7.33,-15.52,-0.16,0,0,TESTING,PAPER_TRADE,113,10000,45759.94,2180_days,07-04-2020,27-03-2026,0.06%,120,tv_backtester_jan_2024
TRIX Signal BINANCEUSDT 2026-04-03,BTC,4h,78136.22,781.36,7.8136,28.91,0.0792,77.3,6.37,2.33,-2531.81,-3.2,-14542.77,-16.5,0,0,0,0,TESTING,PAPER_TRADE,84,10000,88136.22,3130_days,06-09-2017,03-04-2026,0.06%,326,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-02 ,SUI,4h,29155.67,291.56,2.9156,61.28,0.1679,84.54,13.12,2.82,-631.83,-3.19,-2406.05,-6.14,0,0,0,0,PROMISING,TIER_2,122,10000,39155.67,1043_days,24-05-2023,01-04-2026,0.06%,97,tv_backtester_jan_2024
Williams %R BINANCEUSDT 2026-04-03,BTC,4h,76806.59,768.07,7.6807,28.71,0.0787,77.75,12.27,2.81,-1025.84,-1.63,-6813.34,-7.85,-161.44,-1.61,-36.34,-0.04,TESTING,PAPER_TRADE,85,10000,86806.59,3127_days,06-09-2017,30-03-2026,0.06%,373,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03,BTC,4h,37808.13,378.08,3.7808,27.41,0.0751,78.81,7.11,2.69,-612.1,-1.61,-6187.93,-12.94,0,0,0,0,TESTING,PAPER_TRADE,112,10000,47808.13,2359_days,06-10-2019,22-03-2026,0.06%,302,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT 2026-04-03,BNB,4h,58330.52,583.31,5.8331,25.91,0.071,58.11,11.95,2.46,-1435.67,-14.08,-5326.25,-7.79,-1238.99,-12.39,0,0,TESTING,PAPER_TRADE,98,10000,68330.52,3047_days,27-11-2017,02-04-2026,0.06%,370,tv_backtester_jan_2024
BB Squeeze V3 Enhanced BINANCEUSDT 2026-04-03,ETH,4h,13451.51,134.52,1.3452,24.98,0.0684,84.69,50.46,3.68,-74.13,-0.68,-271.96,-1.16,0,0,0,0,TESTING,PAPER_TRADE,149,10000,23451.51,1396_days,30-05-2022,26-03-2026,0.06%,196,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-02,ETH,1h,26786.26,267.86,2.6786,45.61,0.125,80.62,16.84,2.92,-507.85,-1.61,-1691.31,-4.6,-137.78,-1.38,0,0,TESTING,PAPER_TRADE,127,10000,36786.26,1266_days,11-10-2022,30-03-2026,0.06%,129,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-02,ETH,4h,26447.32,264.47,2.6447,45.23,0.1239,81.4,16.74,2.91,-503.88,-1.61,-1680.26,-4.61,-138.65,-1.39,0,0,TESTING,PAPER_TRADE,128,10000,36447.32,1266_days,11-10-2022,30-03-2026,0.06%,129,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT.P 2026-04-03,DOT,4h,21496.78,214.97,2.1497,23.26,0.0637,76.67,9.01,1.97,-520.81,-1.63,-2685.2,-8.39,0,0,-520.81,-1.63,TESTING,PAPER_TRADE,131,10000,31496.78,2004_days,06-10-2020,02-04-2026,0.06%,120,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-02,DOT,1h,22610.39,226.1,2.261,41.02,0.1124,85.19,9.54,2.87,-652.75,-1.96,-2648.04,-7.96,0,0,-652.75,-1.96,TESTING,PAPER_TRADE,130,10000,32610.39,1256_days,13-10-2022,22-03-2026,0.06%,135,tv_backtester_jan_2024
BB Squeeze V3 Enhanced BINANCEUSDT 2026-04-03,DOT,4h,11445.97,114.46,1.1446,22.06,0.0604,80.37,19.66,3.5,-249.89,-1.15,-613.48,-2.83,0,0,-249.89,-1.15,TESTING,PAPER_TRADE,154,10000,21445.97,1398_days,04-06-2022,02-04-2026,0.06%,214,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT 2026-04-03,BTC,4h,43994.76,439.95,4.3995,21.76,0.0596,83.33,11.02,2.32,-856.71,-1.61,-4392.18,-8.13,0,0,-1.65,0,TESTING,PAPER_TRADE,111,10000,53994.76,3129_days,05-09-2017,01-04-2026,0.06%,240,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT 2026-04-03,DOT,4h,19305.34,193.05,1.9305,21.65,0.0593,76.36,7.96,1.89,-486.97,-1.63,-2775.7,-9.32,0,0,-486.97,-1.63,TESTING,PAPER_TRADE,136,10000,29305.34,2004_days,06-10-2020,02-04-2026,0.06%,110,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT.P 2026-04-02,LDO,1h,20250.92,202.51,2.0251,48.64,0.1333,77,6.03,2.4,-462.29,-2.28,-4027.81,-13.31,0,0,0,0,TESTING,PAPER_TRADE,134,10000,30250.92,1020_days,05-06-2023,22-03-2026,0.06%,100,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT.P 2026-04-03,ETH,4h,23363.35,233.63,2.3363,21.21,0.0581,86.24,15.56,2.12,-445.48,-1.61,-1604.31,-4.81,-1.09,-0.01,0,0,TESTING,PAPER_TRADE,129,10000,33363.35,2288_days,20-12-2019,27-03-2026,0.06%,109,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT.P 2026-04-03,XRP,4h,20836.67,208.37,2.0837,20.23,0.0554,76.38,15.19,2.17,-390.98,-3.92,-1468.59,-4.76,-406.49,-4.06,0,0,TESTING,PAPER_TRADE,133,10000,30836.67,2233_days,21-02-2020,03-04-2026,0.06%,127,tv_backtester_jan_2024
