Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,ROI_Annual_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
Ichimoku V2 BINANCEUSDT.P 2026-04-03,LDO,4h,8746.46,87.46,0.8746,20.09,0.055,86.96,11.49,2.14,-233.4,-1.62,-834.1,-4.45,0,0,0,0,TESTING,PAPER_TRADE,167,10000,18746.46,1254_days,21-10-2022,29-03-2026,0.06%,69,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT 2026-04-03,BNB,4h,35369.96,353.7,3.537,19.93,0.0546,54.78,6.85,1.99,-1727.95,-17.41,-6044.75,-13.32,-1801.52,-18.02,0,0,TESTING,PAPER_TRADE,114,10000,45369.96,3039_days,25-11-2017,22-03-2026,0.06%,356,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT.P 2026-04-03,AVAX,4h,15561.75,155.62,1.5562,19.46,0.0533,86,17.45,2.16,-250.98,-1.75,-945.94,-3.7,-156.27,-1.56,0,0,TESTING,PAPER_TRADE,144,10000,25561.75,1928_days,19-12-2020,01-04-2026,0.06%,100,tv_backtester_jan_2024
Ichimoku Pure BINANCEUSDT 2026-04-03,DOT,4h,16539.22,165.39,1.6539,19.28,0.0528,38.1,1.35,0.69,-3581.79,-15.43,-46679.87,-156.17,-1658.07,-16.58,-3350.33,-11.21,WEAK,IGNORE,141,10000,26539.22,2022_days,19-09-2020,03-04-2026,0.06%,231,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT 2026-04-03,ETH,4h,32836.22,328.36,3.2836,18.59,0.0509,84.31,10.72,2.02,-576.66,-1.61,-3379.81,-7.89,0,0,0,0,TESTING,PAPER_TRADE,115,10000,42836.22,3116_days,13-09-2017,27-03-2026,0.06%,153,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT 2026-04-03,DOT,4h,14485.45,144.85,1.4485,18.5,0.0507,83.33,11.7,2.22,-261.21,-1.6,-1354.15,-5.47,-45.75,-0.46,-249.39,-1.01,TESTING,PAPER_TRADE,145,10000,24485.45,1927_days,06-11-2020,15-02-2026,0.06%,96,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT.P 2026-04-03,LINK,4h,17401.18,174.01,1.7401,17.99,0.0493,87.18,9.38,2.22,-455.05,-1.71,-2076.07,-7.58,0,0,0,0,TESTING,PAPER_TRADE,139,10000,27401.18,2225_days,25-02-2020,30-03-2026,0.06%,117,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT 2026-04-03,BTC,4h,30537.27,305.37,3.0537,17.82,0.0488,81.71,18.33,2.12,-340.43,-1.61,-1762.44,-4.35,0,0,0,0,TESTING,PAPER_TRADE,118,10000,40537.27,3117_days,13-09-2017,27-03-2026,0.06%,175,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT.P 2026-04-03,BTC,4h,18412.57,184.13,1.8413,17.65,0.0484,79.14,16.57,2.2,-244.88,-1.61,-1182.23,-4.16,0,0,0,0,TESTING,PAPER_TRADE,137,10000,28412.57,2346_days,23-10-2019,27-03-2026,0.06%,139,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT 2026-04-03,LDO,4h,8266.52,82.67,0.8267,17.56,0.0481,76.39,5.18,1.91,-475.55,-2.54,-1979.23,-10.56,0,0,-475.55,-2.54,TESTING,PAPER_TRADE,171,10000,18266.52,1360_days,25-06-2022,16-03-2026,0.06%,72,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT.P 2026-04-03,DOT,4h,13565.74,135.66,1.3566,17.5,0.048,82.83,11.99,2.23,-271.96,-1.14,-1234.15,-5.18,-24.52,-0.25,-271.96,-1.14,TESTING,PAPER_TRADE,147,10000,23565.74,1941_days,22-10-2020,15-02-2026,0.06%,99,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT.P 2026-04-03,ADA,4h,16427.61,164.28,1.6428,17.29,0.0474,71.3,7.74,1.65,-886.95,-3.31,-2436.7,-9.09,-291.13,-2.91,-374.99,-1.4,TESTING,PAPER_TRADE,143,10000,26427.61,2226_days,25-02-2020,01-04-2026,0.06%,115,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT.P 2026-04-03,DOT,4h,12103.17,121.03,1.2103,16.56,0.0454,80.65,10.41,1.68,-332.33,-1.63,-1285.85,-5.78,0,0,-130.29,-0.59,TESTING,PAPER_TRADE,152,10000,22103.17,1891_days,06-10-2020,11-12-2025,0.06%,62,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT.P 2026-04-03,SOL,4h,13041.99,130.42,1.3042,16.44,0.045,64.91,5.21,1.68,-918.58,-6.24,-3094.64,-13.43,-515.52,-5.16,0,0,TESTING,PAPER_TRADE,150,10000,23041.99,2003_days,07-10-2020,03-04-2026,0.06%,114,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT.P 2026-04-03 (1),SOL,4h,13041.99,130.42,1.3042,16.44,0.045,64.91,5.21,1.68,-918.58,-6.24,-3094.64,-13.43,-515.52,-5.16,0,0,TESTING,PAPER_TRADE,151,10000,23041.99,2003_days,07-10-2020,03-04-2026,0.06%,114,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT.P 2026-04-03,SUI,4h,5212.33,52.12,0.5212,16.31,0.0447,88.46,25.71,1.42,-205.55,-1.62,-210.95,-1.39,0,0,0,0,WEAK,IGNORE,181,10000,15212.33,1014_days,05-06-2023,16-03-2026,0.06%,26,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT.P 2026-04-03,LDO,4h,6536.79,65.37,0.6537,16.08,0.0441,78.46,5.56,1.92,-265.02,-1.6,-1432.55,-8.58,0,0,-159.22,-0.95,TESTING,PAPER_TRADE,174,10000,16536.79,1232_days,30-10-2022,16-03-2026,0.06%,65,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT.P 2026-04-03,AVAX,4h,11169.72,111.7,1.117,15.33,0.042,88.37,14.14,1.47,-346.89,-1.62,-850.26,-3.96,0,0,-300.44,-1.4,TESTING,PAPER_TRADE,155,10000,21169.72,1921_days,07-12-2020,13-03-2026,0.06%,43,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT.P 2026-04-03,XRP,4h,13530.44,135.3,1.353,15.21,0.0417,73.45,7.48,1.86,-476.16,-4.77,-2087.74,-8.87,-491.9,-4.92,0,0,TESTING,PAPER_TRADE,148,10000,23530.44,2207_days,17-02-2020,04-03-2026,0.06%,113,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT.P 2026-04-03,BTC,4h,13963.31,139.63,1.3963,14.65,0.0401,90.91,93.64,1.89,-33.83,-0.16,-150.73,-0.63,0,0,0,0,WEAK,IGNORE,146,10000,23963.31,2335_days,23-10-2019,16-03-2026,0.06%,77,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-02  20,ETH,4h,10743.78,107.44,1.0744,23.6,0.0646,80.49,29.57,2.49,-166.15,-1.62,-376,-1.81,0,0,0,0,TESTING,PAPER_TRADE,157,10000,20743.78,1258_days,11-10-2022,22-03-2026,0.06%,82,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-02 ,DOT,4h,10693.74,106.94,1.0694,24.8,0.0679,89.89,18.54,2.7,-255.25,-1.63,-609.65,-2.94,0,0,-77.65,-0.37,TESTING,PAPER_TRADE,158,10000,20693.74,1199_days,30-10-2022,10-02-2026,0.06%,89,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT 2026-04-03,ETH,4h,20985.58,209.86,2.0986,14.14,0.0387,85.71,17.21,1.62,-726.57,-6.72,-1294.64,-4.18,0,0,-5.72,-0.02,WEAK,IGNORE,132,10000,30985.58,3124_days,08-09-2017,30-03-2026,0.06%,98,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT.P 2026-04-03,LINK,4h,11529.7,115.3,1.153,13.88,0.038,82.76,14.85,1.37,-264.2,-1.61,-832.7,-3.87,0,0,0,0,WEAK,IGNORE,153,10000,21529.7,2155_days,20-04-2020,16-03-2026,0.06%,58,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT 2026-04-03,BNB,4h,17796.63,177.97,1.7797,13.16,0.0361,55.67,7.09,1.67,-1230.73,-12.29,-2920.6,-10.51,-1213.93,-12.14,0,0,WEAK,IGNORE,138,10000,27796.63,3020_days,08-12-2017,16-03-2026,0.06%,203,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT 2026-04-03,DOT,4h,9363.91,93.64,0.9364,13.05,0.0357,80.33,13.04,1.58,-300.33,-1.63,-777.95,-3.98,0,0,-160.15,-0.82,WEAK,IGNORE,162,10000,19363.91,1968_days,06-10-2020,25-02-2026,0.06%,61,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT.P 2026-04-03,ETH,4h,10771.49,107.71,1.0771,12.66,0.0347,91,18.98,2.19,-267.26,-1.61,-599.18,-2.88,0,0,0,0,WEAK,IGNORE,156,10000,20771.49,2240_days,24-01-2020,13-03-2026,0.06%,100,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT 2026-04-03,ETH,4h,16470.65,164.71,1.6471,12.5,0.0343,81.56,13.71,2.02,-328.48,-1.61,-1296.36,-4.9,-1.28,-0.01,0,0,WEAK,IGNORE,142,10000,26470.65,3018_days,06-12-2017,13-03-2026,0.06%,141,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT.P 2026-04-03,ADA,4h,9473.74,94.74,0.9474,12.19,0.0334,71.88,7.02,1.27,-654.81,-3.25,-1574.88,-7.82,-684.3,-6.84,-654.81,-3.25,WEAK,IGNORE,161,10000,19473.74,2116_days,20-04-2020,05-02-2026,0.06%,64,tv_backtester_jan_2024
Momentum Rotation BINANCEUSDT 2026-04-03,DOT,4h,8715.15,87.15,0.8715,11.86,0.0325,34.84,1.14,0.32,-8322.86,-38.98,-61937.25,-290.06,-1050.84,-10.51,-2638.15,-12.35,WEAK,IGNORE,168,10000,18715.15,2042_days,29-08-2020,03-04-2026,0.06%,244,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT.P 2026-04-03,SOL,4h,7664.29,76.64,0.7664,11.64,0.0319,69.23,10.61,1.47,-378.25,-2.98,-797.34,-4.51,-152.82,-1.53,0,0,WEAK,IGNORE,172,10000,17664.29,1888_days,12-01-2021,16-03-2026,0.06%,52,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT.P 2026-04-03 (1),SOL,4h,7664.29,76.64,0.7664,11.64,0.0319,69.23,10.61,1.47,-378.25,-2.98,-797.34,-4.51,-152.82,-1.53,0,0,WEAK,IGNORE,173,10000,17664.29,1888_days,12-01-2021,16-03-2026,0.06%,52,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT.P 2026-04-03,ETH,4h,8613.61,86.14,0.8614,10.63,0.0291,87.27,37.14,1.35,-173.15,-1.61,-238.36,-1.28,0,0,-0.03,0,WEAK,IGNORE,169,10000,18613.61,2247_days,02-02-2020,30-03-2026,0.06%,55,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-02,NEAR,4h,8490.6,84.91,0.8491,24.09,0.066,45.83,5.55,1.65,-624.26,-3.27,-1867.45,-9.77,-331.44,-3.31,-624.26,-3.27,TESTING,PAPER_TRADE,170,10000,18490.6,1040_days,27-05-2023,01-04-2026,0.06%,96,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT.P 2026-04-03 (1),SOL,4h,6345.86,63.46,0.6346,9.63,0.0264,67.09,6.37,1.53,-329.97,-3.26,-1181.83,-7.23,-221.11,-2.21,-6.19,-0.04,WEAK,IGNORE,176,10000,16345.86,1952_days,06-11-2020,13-03-2026,0.06%,79,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT.P 2026-04-03,SOL,4h,6345.86,63.46,0.6346,9.63,0.0264,67.09,6.37,1.53,-329.97,-3.26,-1181.83,-7.23,-221.11,-2.21,-6.19,-0.04,WEAK,IGNORE,177,10000,16345.86,1952_days,06-11-2020,13-03-2026,0.06%,79,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT.P 2026-04-03,LDO,4h,3684.39,36.84,0.3684,9.55,0.0262,84.62,6.95,0.97,-376.24,-3.22,-619.13,-4.49,0,0,-98.24,-0.71,WEAK,IGNORE,184,10000,13684.39,1256_days,17-10-2022,27-03-2026,0.06%,26,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT 2026-04-03,BTC,4h,9571.27,95.71,0.9571,9.1,0.0249,86.84,12.51,1.56,-360.91,-2.89,-831.68,-4.25,-166.29,-1.66,0,0,WEAK,IGNORE,160,10000,19571.27,2817_days,29-06-2018,16-03-2026,0.06%,76,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT.P 2026-04-03,XRP,4h,5927.73,59.28,0.5928,8.19,0.0224,67.19,4.82,1.37,-408.21,-4.09,-1552.71,-9.75,-422.7,-4.23,0,0,WEAK,IGNORE,178,10000,15927.73,2159_days,04-05-2020,02-04-2026,0.06%,64,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT.P 2026-04-03,BTC,4h,6488.58,64.89,0.6489,8.18,0.0224,77.36,10.48,1.74,-238.58,-1.61,-684.21,-4.15,0,0,0,0,WEAK,IGNORE,175,10000,16488.58,2324_days,21-10-2019,02-03-2026,0.06%,106,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT 2026-04-03,BTC,4h,8768.69,87.69,0.8769,8.05,0.0221,80,11.12,1.68,-403.26,-2.35,-866.18,-4.62,0,0,0,0,WEAK,IGNORE,166,10000,18768.69,2970_days,08-01-2018,26-02-2026,0.06%,130,tv_backtester_jan_2024
Ichimoku Pure BINANCEUSDT 2026-04-03,ETH,4h,9140.25,91.4,0.914,7.89,0.0216,37.11,1.11,0.23,-10766.13,-43.15,-85049.04,-340.89,-760.46,-7.6,-5808.66,-23.28,WEAK,IGNORE,163,10000,19140.25,3124_days,09-09-2017,31-03-2026,0.06%,353,tv_backtester_jan_2024
Ichimoku V2 BINANCEUSDT 2026-04-03,BNB,4h,8859.63,88.6,0.886,7.89,0.0216,57.93,4.46,1.24,-929.82,-9.24,-2560.78,-13.58,-865.9,-8.66,0,0,WEAK,IGNORE,165,10000,18859.63,3050_days,25-11-2017,02-04-2026,0.06%,145,tv_backtester_jan_2024
Engulfing Volume BINANCEUSDT 2026-04-03,BTC,4h,8932.85,89.33,0.8933,7.79,0.0213,41.67,1.38,0.44,-3694.11,-23.1,-23746.45,-117.76,0,0,-1232.53,-6.11,WEAK,IGNORE,164,10000,18932.85,3107_days,08-09-2017,13-03-2026,0.06%,132,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT 2026-04-03,LDO,4h,2884.42,28.84,0.2884,7.57,0.0207,76.92,6.04,0.86,-220.03,-1.68,-571.96,-4.36,-275.65,-2.76,-220.03,-1.68,WEAK,IGNORE,185,10000,12884.42,1269_days,09-08-2022,29-01-2026,0.06%,26,tv_backtester_jan_2024
Ichimoku Pure BINANCEUSDT 2026-04-03,LDO,4h,2832.2,28.32,0.2832,6.72,0.0184,35.19,1.1,0.24,-5511.2,-42.47,-27908.74,-206.37,-2535.04,-25.35,-691.25,-5.11,WEAK,IGNORE,186,10000,12832.2,1401_days,28-05-2022,29-03-2026,0.06%,162,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT.P 2026-04-03,ADA,4h,4049.26,40.49,0.4049,5.88,0.0161,58.76,4.34,1.24,-501.23,-4.99,-1211.8,-8.47,-463.69,-4.64,-256.44,-1.79,WEAK,IGNORE,183,10000,14049.26,2172_days,06-03-2020,15-02-2026,0.06%,97,tv_backtester_jan_2024
Ensemble Fusion BINANCEUSDT 2026-04-03,BNB,4h,5802.57,58.03,0.5803,5.66,0.0155,67.65,5.51,1,-375.87,-3.75,-1285.68,-8.14,-359.07,-3.59,0,0,WEAK,IGNORE,179,10000,15802.57,3036_days,08-12-2017,02-04-2026,0.06%,68,tv_backtester_jan_2024
Ichimoku Pure BINANCEUSDT 2026-04-03,BTC,4h,5678.91,56.79,0.5679,5.4,0.0148,35.55,1.1,0.2,-7936.8,-45.63,-57770.64,-322.59,-542.06,-5.42,-2229.67,-12.45,WEAK,IGNORE,180,10000,15678.91,3124_days,13-09-2017,03-04-2026,0.06%,346,tv_backtester_jan_2024
VWAP Reversion BINANCEUSDT 2026-04-03,BNB,4h,5146.34,51.46,0.5146,5.18,0.0142,51.43,4.28,1.24,-1278.61,-12.79,-1569.69,-10.36,-1277.84,-12.78,0,0,WEAK,IGNORE,182,10000,15146.34,3000_days,21-12-2017,09-03-2026,0.06%,140,tv_backtester_jan_2024
Supertrend MACD Fusion BINANCEUSDT 2026-04-03,LDO,4h,1198.67,11.99,0.1199,3.02,0.0083,30.39,1.08,0.18,-2519.18,-22.39,-14475.11,-121.15,-1949.57,-19.5,-749.31,-6.27,WEAK,IGNORE,188,10000,11198.67,1392_days,04-06-2022,28-03-2026,0.06%,102,tv_backtester_jan_2024
DCA Grid BINANCEUSDT 2026-04-03,LDO,4h,1038.42,10.38,0.1038,2.86,0.0078,61.16,1.22,0.22,-1832.22,-17.8,-4786.25,-41.01,-1537.94,-15.38,-632.95,-5.42,WEAK,IGNORE,189,10000,11038.42,1279_days,26-07-2022,25-01-2026,0.06%,121,tv_backtester_jan_2024
DCA Grid BINANCEUSDT 2026-04-03,ETH,4h,1729.57,17.3,0.173,1.9,0.0052,66.4,1.18,0.17,-2572.4,-23.92,-9734.95,-82.97,-1816.63,-18.17,-4.02,-0.03,WEAK,IGNORE,187,10000,11729.57,3088_days,18-10-2017,03-04-2026,0.06%,250,tv_backtester_jan_2024
Supertrend MACD Fusion BINANCEUSDT 2026-04-03,DOT,4h,869.07,8.69,0.0869,1.52,0.0042,29.94,1.05,0.09,-3331.64,-32.23,-17465.05,-157.39,-2993.2,-29.93,-227.61,-2.05,WEAK,IGNORE,190,10000,10869.07,2023_days,18-09-2020,03-04-2026,0.06%,157,tv_backtester_jan_2024
Engulfing Volume BINANCEUSDT 2026-04-03,DOT,4h,613.19,6.13,0.0613,1.09,0.003,33,1.04,0.07,-2687.49,-23.74,-14317.21,-126.49,-1368.21,-13.68,-706.09,-6.24,WEAK,IGNORE,191,10000,10613.19,2003_days,14-09-2020,10-03-2026,0.06%,100,tv_backtester_jan_2024
Engulfing Volume BINANCEUSDT 2026-04-03,LDO,4h,301.35,3.01,0.0301,0.85,0.0023,32.86,1.02,0.04,-6804.17,-39.78,-12798.62,-74.82,-214.97,-2.15,-6804.17,-39.78,WEAK,IGNORE,192,10000,10301.35,1287_days,27-07-2022,03-02-2026,0.06%,70,tv_backtester_jan_2024
DCA Grid BINANCEUSDT 2026-04-03,BTC,4h,169.55,1.7,0.017,0.2,0.0005,64.47,1.02,0.02,-2755.09,-25.2,-9294.09,-80.33,-1820.57,-18.21,-1400.62,-12.11,WEAK,IGNORE,193,10000,10169.55,3082_days,25-10-2017,03-04-2026,0.06%,228,tv_backtester_jan_2024
Liquidity Sweep Reversal BINANCEUSDT 2026-04-03,ETH,4h,-73.14,-0.73,-0.0073,-0.19,-0.0005,37.9,1,-0.01,-4422.09,-33.8,-16745.49,-128.01,-1340.29,-13.4,-3154.94,-24.12,UNPROFITABLE,DO_NOT_USE,194,10000,9926.86,1391_days,31-05-2022,22-03-2026,0.06%,124,tv_backtester_jan_2024
Supertrend MACD Fusion BINANCEUSDT 2026-04-03,ETH,4h,-1527.99,-15.28,-0.1528,-1.93,-0.0053,27.91,0.94,-0.11,-5157.69,-44.96,-23809.9,-207.53,-3684.82,-36.85,-3000.86,-26.16,UNPROFITABLE,DO_NOT_USE,195,10000,8472.01,3111_days,08-09-2017,16-03-2026,0.06%,215,tv_backtester_jan_2024
Momentum Rotation BINANCEUSDT 2026-04-03,ETH,4h,-1587.36,-15.87,-0.1587,-2,-0.0055,31.01,0.97,-0.05,-10674.81,-67.91,-58372.08,-371.35,-4955.91,-49.56,-7306.26,-46.48,UNPROFITABLE,DO_NOT_USE,196,10000,8412.64,3128_days,08-09-2017,03-04-2026,0.06%,387,tv_backtester_jan_2024
Momentum Rotation BINANCEUSDT 2026-04-03,BTC,4h,-1741.8,-17.42,-0.1742,-2.21,-0.0061,32.56,0.97,-0.05,-9509.29,-59.54,-58154.22,-364.11,-3537.79,-35.38,-7713.3,-48.29,UNPROFITABLE,DO_NOT_USE,197,10000,8258.2,3123_days,02-09-2017,23-03-2026,0.06%,387,tv_backtester_jan_2024
Supertrend MACD Fusion BINANCEUSDT 2026-04-03,BTC,4h,-2391.98,-23.92,-0.2392,-3.16,-0.0086,28.5,0.9,-0.17,-6231.31,-47,-24224,-182.73,-2974.25,-29.74,-5649.04,-42.61,UNPROFITABLE,DO_NOT_USE,198,10000,7608.02,3113_days,13-09-2017,23-03-2026,0.06%,214,tv_backtester_jan_2024
DCA Grid BINANCEUSDT 2026-04-03,DOT,4h,-2438.75,-24.39,-0.2439,-5.03,-0.0138,55.21,0.72,-0.29,-4899.38,-39.32,-8699.14,-69.81,-2438.75,-24.39,-4899.38,-39.32,UNPROFITABLE,DO_NOT_USE,199,10000,7561.25,1980_days,30-10-2020,03-04-2026,0.06%,163,tv_backtester_jan_2024
Engulfing Volume BINANCEUSDT 2026-04-03,ETH,4h,-3846.85,-38.47,-0.3847,-5.52,-0.0151,27.01,0.79,-0.35,-5766.62,-48.38,-17996.34,-150.98,-3846.85,-38.47,-5766.62,-48.38,UNPROFITABLE,DO_NOT_USE,201,10000,6153.15,3124_days,08-09-2017,30-03-2026,0.06%,137,tv_backtester_jan_2024
Fair Value Gap BINANCEUSDT 2026-04-03,BTC,4h,-4006.25,-40.06,-0.4006,-5.8,-0.0159,36.23,0.94,-0.19,-9449.29,-63.21,-66678.42,-446.03,-4499.93,-45,-8955.61,-59.91,UNPROFITABLE,DO_NOT_USE,202,10000,5993.75,3130_days,06-09-2017,03-04-2026,0.06%,530,tv_backtester_jan_2024
Liquidity Sweep Reversal BINANCEUSDT 2026-04-03,BTC,4h,-3416.73,-34.17,-0.3417,-10.39,-0.0285,32.54,0.77,-0.59,-3561.22,-35.1,-14856.07,-146.44,-3416.73,-34.17,-3561.22,-35.1,UNPROFITABLE,DO_NOT_USE,200,10000,6583.27,1392_days,30-05-2022,22-03-2026,0.06%,126,tv_backtester_jan_2024
Momentum Rotation BINANCEUSDT 2026-04-03,LDO,4h,-4775.22,-47.75,-0.4775,-15.6,-0.0427,27.75,0.79,-0.53,-6151.08,-59.51,-23237.59,-224.83,-5815.34,-58.15,-5110.96,-49.45,UNPROFITABLE,DO_NOT_USE,203,10000,5224.78,1398_days,28-05-2022,27-03-2026,0.06%,173,tv_backtester_jan_2024
Liquidity Sweep Reversal BINANCEUSDT 2026-04-03,LDO,4h,-5055.35,-50.55,-0.5055,-16.84,-0.0461,29.63,0.7,-0.91,-5798.97,-55.97,-16597.41,-160.19,-5437.78,-54.38,-5416.54,-52.28,UNPROFITABLE,DO_NOT_USE,204,10000,4944.65,1395_days,06-06-2022,02-04-2026,0.06%,162,tv_backtester_jan_2024
Fair Value Gap BINANCEUSDT 2026-04-03,ETH,4h,-8850.14,-88.5,-0.885,-22.3,-0.0611,31.26,0.77,-0.78,-9105.97,-89.8,-38375.26,-378.46,-8966.05,-89.66,-8990.06,-88.66,UNPROFITABLE,DO_NOT_USE,205,10000,1149.86,3131_days,05-09-2017,03-04-2026,0.06%,611,tv_backtester_jan_2024
Fair Value Gap BINANCEUSDT 2026-04-03,LDO,4h,-8871.2,-88.71,-0.8871,-43.37,-0.1188,25.31,0.53,-1.95,-8791.88,-88.77,-18987.17,-189.87,-8887.38,-88.87,-8775.7,-88.6,UNPROFITABLE,DO_NOT_USE,206,10000,1128.8,1401_days,28-05-2022,29-03-2026,0.06%,324,tv_backtester_jan_2024
